Key                    ZMK                    Default        Shift          AltGr          Shift+AltGr
Backquote              GRAVE                  ^              °              Unassigned     Unassigned
Digit1                 N1                     1              !              Unassigned     Unassigned
Digit2                 N2                     2              "              ²              Unassigned
Digit3                 N3                     3              §              ³              Unassigned
Digit4                 N4                     4              $              Unassigned     Unassigned
Digit5                 N5                     5              %              Unassigned     Unassigned
Digit6                 N6                     6              &              Unassigned     Unassigned
Digit7                 N7                     7              /              {              Unassigned
Digit8                 N8                     8              (              [              Unassigned
Digit9                 N9                     9              )              ]              Unassigned
Digit0                 N0                     0              =              }              Unassigned
Minus                  MINUS                  ß              ?              \              ẞ 
Equal                  EQUAL                  ´              `              Unassigned     Unassigned
IntlYen                Key                    Unassigned     Unassigned     Unassigned     Unassigned
KeyQ                   Q                      q              Q              @              Unassigned
KeyW                   W                      w              W              Unassigned     Unassigned
KeyE                   E                      e              E              €              Unassigned
KeyR                   R                      r              R              Unassigned     Unassigned
KeyT                   T                      t              T              Unassigned     Unassigned
KeyY                   Y                      z              Z              Unassigned     Unassigned
KeyU                   U                      u              U              Unassigned     Unassigned
KeyI                   I                      i              I              Unassigned     Unassigned
KeyO                   O                      o              O              Unassigned     Unassigned
KeyP                   P                      p              P              Unassigned     Unassigned
BracketLeft            LBKT                   ü              Ü              Unassigned     Unassigned
BracketRight           RBKT                   +              *              ~              Unassigned
Backslash              BSLH                   #              '              Unassigned     Unassigned
KeyA                   A                      a              A              Unassigned     Unassigned
KeyS                   S                      s              S              Unassigned     Unassigned
KeyD                   D                      d              D              Unassigned     Unassigned
KeyF                   F                      f              F              Unassigned     Unassigned
KeyG                   G                      g              G              Unassigned     Unassigned
KeyH                   H                      h              H              Unassigned     Unassigned
KeyJ                   J                      j              J              Unassigned     Unassigned
KeyK                   K                      k              K              Unassigned     Unassigned
KeyL                   L                      l              L              Unassigned     Unassigned
Semicolon              SEMI                   ö              Ö              Unassigned     Unassigned
Quote                  SQT                    ä              Ä              Unassigned     Unassigned
IntlBackslash          NUBS                   <              >              |              Unassigned
KeyZ                   Z                      y              Y              Unassigned     Unassigned
KeyX                   X                      x              X              Unassigned     Unassigned
KeyC                   C                      c              C              Unassigned     Unassigned
KeyV                   V                      v              V              Unassigned     Unassigned
KeyB                   B                      b              B              Unassigned     Unassigned
KeyN                   N                      n              N              Unassigned     Unassigned
KeyM                   M                      m              M              µ              Unassigned
Comma                  COMMA                  ,              ;              Unassigned     Unassigned
Period                 DOT                    .              :              Unassigned     Unassigned
Slash                  FSLH                   -              _              Unassigned     Unassigned
IntlRo                 Key                    Unassigned     Unassigned     Unassigned     Unassigned
Space                  Key                    SPACE          Unassigned     Unassigned     Unassigned
Tab                    Key                    Unassigned     Unassigned     Unassigned     Unassigned
CapsLock               Key                    Unassigned     Unassigned     Unassigned     Unassigned
ThumbClusterLeft1      Key                    Unassigned     Unassigned     Unassigned     Unassigned
ThumbClusterLeft2      Key                    Unassigned     Unassigned     Unassigned     Unassigned
ThumbClusterRight1     Key                    Unassigned     Unassigned     Unassigned     Unassigned
ThumbClusterRight2     Key                    Unassigned     Unassigned     Unassigned     Unassigned
